(1,19,1)=>(1,32,1), (1,19,1)
(1,61,1)=>(1,112,1), (1,61,1)
(1,61,1)=>(1,61,1), (1,49,1)
(1,18,1)=>(1,92,1), (1,18,1)
(1,18,1)=>(1,88,1), (1,18,1)
(1,10,1)=>(1,1,3), (1,10,1)
(1,10,1)=>(1,10,1), (1,28,3)
(1,10,1)=>(1,10,1), (1,8,1)
(3,1,1)=>(3,1,1), (3,20,1)
(1,20,3)=>(1,20,3), (1,57,1)
(1,3,1)=>(1,3,1), (1,5,1)
(1,73,1)=>(1,20,1), (1,73,1)
(43,16,43)=>(43,8,1), (43,16,43)
(1,113,1)=>(1,67,1), (1,113,1)
(1,113,1)=>(1,113,1), (1,20,1)
(1,52,1)=>(1,22,1), (1,52,1)
(3,1,3)=>(3,1,3), (1,30,3)
(3,85,3)=>(3,73,1), (3,85,3)
(3,42,3)=>(3,53,3), (3,42,3)
(3,10,3)=>(3,10,3), (3,13,3)
(43,85,43)=>(43,13,1), (43,85,43)
(3,13,1)=>(3,13,3), (3,13,1)
(1,5,1)=>(1,50,1), (1,5,1)
(3,34,3)=>(3,34,3), (3,11,3)
(1,53,1)=>(1,53,1), (1,23,1)
(1,29,1)=>(1,29,1), (3,28,1)
(1,57,1)=>(1,57,1), (1,31,1)
(1,22,1)=>(1,52,1), (1,22,1)
(3,17,3)=>(3,17,3), (3,31,3)
(3,17,3)=>(3,17,3), (3,63,3)
(3,67,3)=>(3,20,3), (3,67,3)
(1,28,1)=>(1,17,1), (1,28,1)
(1,28,1)=>(1,24,1), (1,28,1)
(1,28,1)=>(1,28,1), (1,19,1)
(1,144,1)=>(1,37,1), (1,144,1)
(1,88,1)=>(1,88,1), (1,92,1)
(1,7,3)=>(1,7,3), (1,7,3)
(3,16,3)=>(3,31,1), (3,16,3)
(1,1,1)=>(1,1,1), (1,85,3)
(1,1,1)=>(1,1,1), (1,125,1)
(1,11,1)=>(1,113,1), (1,11,1)
(1,11,1)=>(1,30,1), (1,11,1)
(3,28,1)=>(3,28,1), (3,85,3)
(1,51,1)=>(1,51,1), (1,47,1)
(43,15,3)=>(43,15,3), (43,15,3)
(1,31,1)=>(1,31,1), (1,34,1)
(1,58,1)=>(1,14,1), (1,58,1)
(1,10,1)=>(1,10,1), (3,67,1)
(1,10,1)=>(1,10,1), (1,5,1)
(1,20,3)=>(1,20,3), (3,1,1)
