44	(1,23,1)	67
44	(3,20,1), (3,20,3)	69
44	(3,20,3), (3,20,1)	55
44	(1,8,1)	93
44	(3,13,3)	70
45	(1,28,1)	110
45	(3,15,3)	76
45	(3,11,3)	68
45	(1,20,1), (1,20,1)	90
45	(3,13,1)	61
45	(1,13,1)	109
45	(1,16,1)	96
45	(1,5,1)	145
45	(1,1,1), (1,1,1)	102
45	(3,20,3), (3,20,3)	131
45	(3,8,3)	99
45	(3,20,1), (3,20,3)	77
45	(3,85,3)	88
45	(1,27,1)	109
45	(43,16,1)	70
45	(3,1,3), (3,1,3)	73
45	(3,20,1)	115
45	(3,16,3)	66
45	(3,5,3)	65
45	(3,20,3)	271
45	(1,10,1)	106
45	(3,8,1)	59
45	(1,11,1)	115
45	(3,20,3), (3,20,1)	71
45	(3,1,3)	232
45	(1,23,1)	82
45	(1,8,1)	84
45	(1,22,1)	82
45	(3,13,3)	62
45	(3,1,1)	132
45	(1,31,1)	56
45	(3,28,3)	108
45	(1,20,1)	188
45	(1,1,1)	271
45	(3,17,3)	55
45	(1,7,1)	69
45	(1,1,3)	92
45	(1,15,1)	83
45	(1,17,1)	91
45	(3,31,3)	57
