40	(1,13,1)	53
40	(3,13,3)	38
40	(1,1,3)	45
40	(3,13,1)	31
40	(1,16,1)	38
40	(1,11,1)	54
40	(3,16,3)	25
40	(1,31,1)	28
40	(3,85,3)	20
40	(3,20,3)	108
40	(1,15,1)	30
40	(3,17,3)	28
40	(3,28,3)	40
40	(3,15,3)	41
40	(3,31,3)	22
40	(1,8,1)	45
40	(3,11,3)	39
40	(3,8,1)	31
40	(1,27,1)	40
40	(1,20,1)	56
40	(1,22,1)	32
40	(1,17,1)	41
40	(1,5,1)	51
40	(1,28,1)	53
40	(1,1,1)	90
40	(43,16,1)	28
40	(3,5,3)	29
40	(3,1,1)	62
40	(3,8,3)	57
40	(1,10,1)	33
40	(3,1,3)	101
40	(1,23,1)	27
40	(1,7,1)	23
40	(3,20,1)	61
41	(1,13,1)	126
41	(3,13,1)	54
41	(1,11,1)	99
41	(1,31,1)	47
41	(3,85,3)	45
41	(3,17,3)	49
41	(3,28,3)	74
41	(3,20,1), (3,20,3)	42
41	(1,20,1)	107
41	(1,17,1)	62
41	(1,5,1)	107
41	(43,16,1)	54
41	(1,10,1)	72
41	(3,1,3)	175
41	(3,13,3)	64
41	(1,1,3)	73
41	(1,16,1)	53
41	(3,16,3)	55
41	(3,20,3)	205
41	(1,15,1)	63
41	(3,15,3)	62
41	(3,31,3)	50
41	(1,8,1)	76
41	(3,11,3)	57
41	(3,8,1)	54
41	(1,27,1)	74
41	(1,28,1)	97
41	(3,20,3), (3,20,1)	35
41	(3,5,3)	43
41	(3,1,1)	105
41	(1,23,1)	63
41	(3,20,3), (3,20,3)	62
41	(1,20,1), (1,20,1)	30
41	(1,22,1)	63
41	(1,1,1)	152
41	(1,1,1), (1,1,1)	39
41	(3,8,3)	90
41	(3,1,3), (3,1,3)	47
41	(1,7,1)	46
41	(3,20,1)	100
42	(3,11,3)	95
42	(3,13,3)	90
42	(1,28,1)	121
42	(1,11,1)	131
42	(1,1,1)	230
42	(1,1,1), (1,1,1)	62
42	(3,1,1)	153
42	(3,85,3)	60
42	(3,15,3)	83
42	(1,27,1)	89
42	(3,20,3), (3,20,1)	57
42	(3,1,3), (3,1,3)	81
