development,

progress
advance,

advancement, 

expansion,
gain,

hike,

improvement,

increase,

production,

prosperity,

rise,

surge,

aggrandizement,

augmentation,

boost,

buildup,

cultivation,

enlargement, 

evolution, 

extension,

flowering,

germination,

maturation,

multiplication, 

produce, 

proliferation, 

sprouting, 

stretching,

swell, 

thickening, 

unfolding, 

vegetation,  

waxing, 

widening, 

beefing up, 

evolvement, 

fleshing out, 

heightening, 

maturing, 

upping,  

