ambush
artillery barrage
battalia
blockade
booby trap
breach
breakout
bridgehead 
charge
chequered retreat
column
counterattack
counter-battery fire
coup de grã¢ce
coup de main
debellatio
decisive victory
defilade
dustoff
echelon formation
encirclement
enfilade
envelope
extraction point
fabian strategy
fighting withdrawal
file
flanking maneuver
forlorn hope
frontal assault 
frontal attack
guerilla tactics
hors de combat
infantry square
infiltration
interdiction
killing field
lodgement
melee 
mobile columns
no quarter given
overwatch
patrolling
parthian shot
phalanx
pickets 
pincer maneuver
pitched battle
pocket
pyrrhic victory
raid
rank
reconnaissance
retreat
rout
sack
safe-guard
salients
scorched earth
scuttling
shield wall
shield wall 
fortification
shoot and scoot
siege
siege en 
circumvallation
contravallation
escalade
chevaux de frise
investment
military mining
parallel trenches
sapping
siege engines
siege train
siege tower
sortie 
surrender 
skirmish
vedette
withdrawal (military)
