protest,
dissent,
objection,
act,
resistance,
boycott,
demonstration,
direct action,
manifestation,
walkout,
resist,
oppose,
renegade,
march,
rise up,
rebel,
demonstrate,
strike,
objection,
all to the streets,
occupation

protesto,
ato, 
manifestação, 
dissidência, 
boicote, 
demonstração, 
concentração,
resistir, 
renegado, 
marcha, 
demonstrar, 
greve, 
objeção, 
todos nas ruas, 
sair às ruas,
vem pra rua, 
vem pra ruas,
ocupação,
protestação, 
queixa, 
reclamação,
tenção,
discurso,
erupção,
objeção,
fechar, 
fecham,
fecharam,
montar, 
montada, 
interdição, 
bloqueio, 
lutar, 
luta, 
caminhada, 
acampamento,
