QGroundControl,
Mission Planner,
APM Planner 2,
Universal GCS,
MAVProxy Console,
AutoQuad,
iDroneCtrl,		
AndroPilot,
DroidPlanner,
DroidPlanner 2,
DroidPlanner 3,
MAV Pilot,
Mavelous,
Drone Deploy,
Drone Deploy Droid,
DJI release version 4.0.11,
HappyKillmore,
Firetail,
Paparrazi,
OpenPilot

