january,
jan,
jan.,
february,
feb,
feb.,
march,
mar,
mar.,
april,
apr,
apr.,
may,
may.,
june,
jun,
jun.,
july,
jul,
jul.,
august,
aug,
aug.,
september,
sep.,
sept,
sept.,
october,
oct,
oct.,
november,
nov,
nov.,
december,
dec,
dec.,
spring,
summer,
fall,
autumn,
winter,
hour,
hours,
hrs,
hr,
hr.,
day,
days,
minutes,
mins,
mins.,
min.,
seconds,
second,
sec.,
secs.,
Sec,
Secs,
Weeks,
Week,
Wks,
Wks.,
Months,
Month,
Mths,
Mth,
Year,
Yrs,
Yrs.,
Yr,
Yr.,
Decade,
Decades.,
Century,
Centuries,
sunday,
sun,
sun.,
monday,
mon,
mon.,
tuesday,
tue,
tue.,
tues,
tues.,
wednesday,
wed,
wed.,
thursday,
thur,
thur.,
thurs,
thurs.,
friday,
fri,
fri.,
saturday,
sat,
sat.,
oclock,
o'clock,
