hour,
hours,
hrs,
hr,
hr.,
day,
days,
minutes,
mins,
mins.,
min.,
seconds,
second,
sec.,
secs.,
millisecond,
milliseconds,
ms,
ms.,
nanosecond,
nanoseconds,
ns,
ns.,
microsecond,
microseconds,
weeks,
week,
wks,
wks.,
months,
month,
mths,
mth,
year,
yrs,
yrs.,
yr,
yr.,
decade,
decades.,
century,
centuries
