Revolution Day Memorial,
APEC Summit Extra Holiday,
Dayton Peace Agreement Day,
Armed Forces Day,
Dignity and Freedom Day,
Teacher’s Day,
Sunday of the Dead,
Independence Day,
4th of July,
Albanian Alphabet Day,
St George's Day,
Thanksgiving Day,
Thanksgiving,
Rudolf Maister Day,
Guru Tegh Bahadur's Martyrdom Day,
Statehood Day,
Guru Nanak Jayanti,
Il Full Moon Poya Day,
Guru Nanak's Birthday,
Water Festival Ceremony,
National Sovereignty Day,
Robert E Lee's Birthday,
Presidents' Day,
Lincoln's Day,
Black Friday,
American Indian Heritage Day,
Aviation Day,
Independence from Spain,
Proclamation of the Republic,
Day of Albanians,
Liberation Day,
First Sunday Advent,
William Tubmans Birthday,
Martyrs' Day,
Independence Day,
Bonifacio Day,
St Andrew's Day,
National Day Holiday,
Republic Day,
Day of the First President of the Republic of Kazakhstan,
National holiday,
National Day,
Arbaeen,
National Day Holiday,
Day of Navarre,
Chelum,
Farmer's Day,
The Prophet's Birthday,
Epiphany,
Orthodox Christmas Day,
Stephen Foster Memorial Day,
Orthodox New Year,
Lee Jackson Day,
Martin Luther King Day,
State Holiday,
Idaho Human Rights Day,
Civil Rights Day,
Kansas Day,
National Freedom Day,
Groundhog Day,
Tu Bishvat,
Tu B'Shevat,
Rosa Parks Day,
National Wear Red Day,
Lincoln's Birthday,
Valentine's Day,
Statehood Day in Arizona,
Susan B Anthony's Birthday,
Daisy Gatson Bates Day,
Shrove Tuesday,
Fat Tuesday,
Lundi Gras,
Mardi Gras,
Ash Wednesday,
Chinese New Year,
Linus Pauling Day,
St. David's Day,
Texas Independence Day,
Casimir Pulaski Day,
Read Across America Day,
Town Meeting Day Vermont,
Purim,
Employee Appreciation Day,
Daylight Saving Time starts,
St. Patrick's Day,
Evacuation Day,
March equinox,
Maryland Day,
Prince Jonah Kuhio Kalanianaole Day,
Palm Sunday,
Seward's Day,
César Chávez Day,
Maundy Thursday,
Pascua Florida Day,
Good Friday,
Holy Saturday,
Passover,
Easter Sunday,
Easter Monday,
National Tartan Day,
Orthodox Good Friday,
Last Day of Passover,
Orthodox Holy Saturday,
Orthodox Easter,
Orthodox Easter Monday,
Thomas Jefferson's Birthday,
Yom HaShoah,
Tax Day,
Father Damien Day,
Emancipation Day,
Patriot's Day,
San Jacinto Day,
National Library Workers' Day,
Oklahoma Day,
Administrative Professionals Day,
Yom Ha'atzmaut,
Take our Daughters and Sons to Work Day,
Arbor Day,
Confederate Memorial Day,
Law Day,
Loyalty Day,
National Explosive Ordnance Disposal (EOD) Day,
Kent State Shootings Remembrance,
Rhode Island Independence Day,
Cinco de Mayo,
Primary Election Day Indiana,
National Nurses Day,
Lag BaOmer,
National Day of Prayer,
Truman Day,
Mother's Day,
State Holiday,
Ascension Day,
Peace Officers Memorial Day,
National Defense Transportation Day,
Isra and Mi'raj,
Armed Forces Day,
Emergency Medical Services for Children Day,
National Maritime Day,
Harvey Milk Day,
Pentecost,
Shavuot,
Whit Monday,
Memorial Day,
Jefferson Davis Birthday,
National Missing Children's Day,
Trinity Sunday,
Statehood Day,
Corpus Christi,
Doughnut Day,
D-Day,
Kamehameha Day,
U.S. Army Birthday,
Flag Day,
Bunker Hill Day,
Ramadan starts,
Juneteenth,
Emancipation Day,
West Virginia Day,
American Eagle Day,
June Solstice,
Lailat al-Qadr,
Eid al-Fitr,
Pioneer Day,
Tisha B'Av,
Parents' Day,
Colorado Day,
U.S. Coast Guard Birthday,
Purple Heart Day,
Victory Day,
Assumption of Mary,
Bennington Battle Day,
National Aviation Day,
Statehood Day in Hawaii,
Senior Citizens Day,
Women's Equality Day,
Lyndon Baines Johnson Day,
Labor Day,
California Admission Day,
Carl Garner Federal Lands Cleanup Day,
National Grandparents Day,
Rosh Hashana,
Constitution Day,
Citizenship Day,
Air Force Birthday,
National POW/MIA Recognition Day,
Emancipation Day,
Yom Kippur,
September equinox,
Eid al-Adha,
Native Americans' Day,
Gold Star Mother's Day,
First Day of Sukkot,
Feast of St Francis of Assisi,
Last Day of Sukkot,
Shmini Atzeret,
Child Health Day,
Simchat Torah,
Leif Erikson Day,
Columbus Day,
Native Americans' Day,
Indigenous People's Day,
U.S. Navy Birthday,
Muharram,
White Cane Safety Day,
Boss's Day,
Alaska Day,
Nevada Day,
Halloween,
All Saints' Day,
Daylight Saving Time ends,
All Souls' Day,
Election Day,
Marine Corps Birthday,
Diwali/Deepavali,
Veterans Day,
Black Friday,
American Indian Heritage Day,
First Sunday of Advent,
Cyber Monday,
St Nicholas' Day,
Chanukah,
Hanukkah,
Pearl Harbor Remembrance Day,
Feast of the Immaculate Conception,
Feast of Our Lady of Guadalupe,
U.S. National Guard Birthday,
Last Day of Chanukah,
Pan American Aviation Day,
Wright Brothers Day,
December Solstice,
The Prophet's Birthday,
Christmas Eve,
Washington's Birthday,
Christmas Day,
Kwanzaa,
Day After Christmas Day,
New Year's Eve

