sunday,
sun,
sun.,
monday,
mon,
mon.,
tuesday,
tue,
tue.,
tues,
tues.,
wednesday,
wed,
wed.,
thursday,
thur,
thur.,
thurs,
thurs.,
friday,
fri,
fri.,
saturday,
sat,
sat.,
weekday,
weekend,
weekends,
businessday,
businessdays
