terrorist,
terrorism,
act of terrorism,
terrorist act,

radical,

suicide bomber,
jacobin,
cyberpunk,
cyber-terrorist,

jafar,
jafar umar thalib,
jaffar,
jaffar umar thalib,
michael assat,
osama bin laden,
salim,
sanchez,
taurus,
usama bin laden,
andres martinez,
bin laden,

terrorist cell,
radical cell,

terror,
terrorism,
