2011,"The U.S. Department of Energy Atmospheric Radiation Measurement Airborne Facility. 34th International Symposium on Remote Sensing of Environment - The GEOSS Era: Towards Operational Environmental Monitoring, April 10, 2011 - April 15, 2011, Sydney, NSW, Australia, International Center for Remote Sensing of Environment.", arm,N/A,"Tomlinson, J., B. Schmid, J. Hubbe, J. Comstock, C. Kluzek, C. Long and C. Flynn"
2011,"""Retrievals of Cloud Optical Depth and Effective Radius from Thin-Cloud Rotating Shadowband Radiometer Measurements."" Journal of Geophysical Research: Atmospheres 116(D23):D23208 (9 pp.) DOI: 10.1029/2011jd016192",sgp; arm;mwrp,http://dx.doi.org/10.1029/2011JD016192,"Yin, B., Q. Min, M. Duan, M. J. Bartholomew, A. M. Vogelmann and D. D. Tumer."
2012,"""The Impact of Low Clouds on Surface Shortwave Radiation in the Ecmwf Model."" Monthly Weather Review 140(11):3783-3794 DOI: 10.1175/mwr-d-11-00316.1",m;cloud; sgp;arm,<Go to ISI>://WOS:000311013500023,"Ahlgrimm, M. and R. Forbes."
2012,"""Diurnal and Seasonal Cycles of Cloud Occurrences, Types, and Radiative Impact over West Africa."" Journal of Applied Meteorology and Climatology 51(3):534-53 DOI: 10.1175/jamc-d-11-051.1",niamey; cloud;mobile facility;arm,http://dx.doi.org/10.1175/JAMC-D-11-051.1,"Bouniol, D., F. Couvreux, P. H. Kamsu-Tamo, M. Leplay, F. Guichard, F. Favot and E. J. O'Connor."
2012,"""Observations and Large-Eddy Simulations of Entrainment in the Sheared Sahelian Boundary Layer."" Boundary-Layer Meteorology 142(1):79-101 DOI: 10.1007/s10546-011-9661-x",ozone; planetary boundary layer height,http://dx.doi.org/10.1007/s10546-011-9661-x,"Canut, G., F. Couvreux, M. Lothon, D. Pino and F. Said."
2012,"""Noah-Gem and Land Data Assimilation System (Ldas) Based Downscaling of Global Reanalysis Surface Fields: Evaluations Using Observations from a Carboeurope Agricultural Site."" Computers and Electronics in Agriculture 86:55-74 DOI: 10.1016/j.compag.2011.12.001",ldis; sgp,http://dx.doi.org/10.1016/j.compag.2011.12.001,"Charusombat, U., D. Niyogi, S. Garrigues, A. Olioso, O. Marloie, M. Barlage, C. Fei, M. Ek, W. Xuemei and W. Zhiyong."
2012,"""Cloud Droplet Size and Liquid Water Path Retrievals from Zenith Radiance Measurements: Examples from the Atmospheric Radiation Measurement Program and the Aerosol Robotic Network."" Atmospheric Chemistry and Physics 12(21):10313-10329 DOI: 10.5194/acp-12-10313-2012", cloud;arm,<Go to ISI>://WOS:000310954400020,"Chiu, J. C., A. Marshak, C. H. Huang, T. Varnai, R. J. Hogan, D. M. Giles, B. N. Holben, E. J. O'Connor, Y. Knyazikhin and W. J. Wiscombe."
2012,"""Sensitivity of Aerosol Indirect Effects to Cloud Nucleation and Autoconversion Parameterizations in Short-Range Weather Forecasts During the May 2003 Aerosol Iop."" Journal of Advances in Modeling Earth Systems 4 DOI: 10.1029/2012ms000161", sgp,http://onlinelibrary.wiley.com/store/10.1029/2012MS000161/asset/jame73.pdf?v=1&t=iqnz1edy&s=90da9d02de866372e56111978c2635c1135c9a8e,"Chuang, C. C., J. T. Kelly, J. S. Boyle and S. C. Xie."
2012,"""Atmospheric Carbon Dioxide Retrieved from the Greenhouse Gases Observing Satellite (Gosat): Comparison with Ground-Based Tccon Observations and Geos-Chem Model Calculations."" Journal of Geophysical Research-Atmospheres 117:Article No. D21301 DOI: 10.1029/2012jd018087", carbon,<Go to ISI>://WOS:000310685700003,"Cogan, A. J., H. Boesch, R. J. Parker, L. Feng, P. I. Palmer, J. F. L. Blavier, N. M. Deutscher, R. Macatangay, J. Notholt, C. Roehl, T. Warneke and D. Wunch."
2012,"""Interpreting an Evaluation of the Ecmwf Global Model with Cloudsat Observations: Ambiguities Due to Radar Reflectivity Forward Operator Uncertainties."" Quarterly Journal of the Royal Meteorological Society 138(669):2047-2065 DOI: 10.1002/qj.1936",radar reflectivity; cloud,http://onlinelibrary.wiley.com/store/10.1002/qj.1936/asset/1936_ftp.pdf?v=1&t=iqnyzvn6&s=eb150d19bdd2c07306886163101928e161ceee26,"Di Michele, S., M. Ahlgrimm, R. Forbes, M. Kulie, R. Bennartz, M. Janiskova and P. Bauer."
2012,"""Carbon, Water, and Heat Flux Responses to Experimental Burning and Drought in a Tallgrass Prairie."" Agricultural and Forest Meteorology 166:169-174 DOI: 10.1016/j.agrformet.2012.07.011", sgp,<Go to ISI>://WOS:000313479100018,"Fischer, M. L., M. S. Torn, D. P. Billesbach, G. Doyle, B. Northup and S. C. Biraud."
2012,"""Assessing the Performance of a Prognostic and a Diagnostic Cloud Scheme Using Single Column Model Simulations of Twp-Ice."" Quarterly Journal of the Royal Meteorological Society 138(664):734-54 DOI: 10.1002/qj.954",liquid water content; convection,http://dx.doi.org/10.1002/qj.954,"Franklin, C. N., C. Jakob, M. Dix, A. Protat and G. Roff."
